animal_id,species,breed,age_years,weight_kg,sex,visit_id,visit_date,presenting_complaint,body_system,diagnosis,severity,treatment_type,treatment_detail,outcome
ANM11063,Cat,British Shorthair,10.9,4.5,MN,VIS11063,2023-04-27,"diarrhoea, decreased appetite",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, probiotics, bland diet",recovered
ANM11884,Cat,Siamese,15.3,4.8,F,VIS11884,2024-08-17,"weight loss, dyspnoea, regurgitation",GI,Mediastinal lymphoma,severe,Medication,Systemic chemotherapy protocols,referred
ANM08511,Cat,Domestic Shorthair,17.9,5.9,FS,VIS08511,2024-08-25,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids",recovered
ANM03030,Dog,Chihuahua,5.7,1.6,M,VIS03030,2024-02-23,"bad breath, difficulty eating, pawing at mouth",Dental,Severe dental disease,moderate,Surgery,"Prophylactic dentals, extractions",recovered
ANM04083,Dog,Beagle,3.4,9.5,MN,VIS04083,2023-04-06,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM02897,Dog,Labrador Retriever,1.9,28.7,FS,VIS02897,2024-09-05,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM00220,Dog,French Bulldog,6.5,9.4,FS,VIS00220,2023-03-29,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids, fasting",recovered
ANM09304,Cat,Persian,11.8,3.5,MN,VIS09304,2024-06-22,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM09295,Cat,Siamese,16.4,3.8,FS,VIS09295,2023-03-16,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM01871,Dog,Yorkshire Terrier,14.7,3.3,FS,VIS01871,2024-02-11,"honking cough, respiratory distress",Respiratory,Tracheal collapse,mild,Medication,"Antitussives (butorphanol), weight management",recovered
ANM11192,Cat,Maine Coon,13.1,7.0,M,VIS11192,2023-05-23,"exercise intolerance, open-mouth breathing, sudden collapse",Cardiovascular,Hypertrophic cardiomyopathy (HCM),severe,Medication,"Diuretics (furosemide), ACE inhibitors (benazepril), clopidogrel",chronic management
ANM12141,Cat,Siamese,7.9,3.6,M,VIS12141,2023-07-25,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),severe,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM00865,Dog,German Shepherd,6.3,38.7,FS,VIS00865,2024-10-09,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM01311,Dog,Beagle,14.4,10.0,MN,VIS01311,2023-01-07,"weight gain, lethargy, reduced exercise tolerance",GI,Obesity-related GI issues,moderate,Supportive care,"Caloric restriction, exercise program",chronic management
ANM14089,Cat,Domestic Shorthair,17.8,4.3,F,VIS14089,2024-01-12,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM07973,Dog,Yorkshire Terrier,9.0,3.2,FS,VIS07973,2023-02-20,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM08475,Cat,Domestic Shorthair,15.0,3.9,MN,VIS08475,2023-09-25,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM05698,Dog,German Shepherd,6.3,27.4,MN,VIS05698,2024-01-09,"progressive hindlimb weakness, ataxia",Musculoskeletal,Degenerative myelopathy,severe,Supportive care,"Physiotherapy, supportive care (no cure)",chronic management
ANM03669,Dog,Chihuahua,10.0,1.6,F,VIS03669,2023-08-25,"itching, redness, recurrent skin issues",Dermatology,Atopic dermatitis,moderate,Medication,"Oclacitinib (Apoquel), lokivetmab (Cytopoint)",chronic management
ANM09622,Cat,Maine Coon,8.8,5.6,F,VIS09622,2023-08-26,"reduced jumping, hindlimb weakness",Musculoskeletal,Hip dysplasia,mild,Medication,"Weight control, gabapentin or robenacoxib for pain management",chronic management
ANM04836,Dog,French Bulldog,2.0,13.8,F,VIS04836,2023-07-01,"diarrhoea, vomiting",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, bland diet, fluids",recovered
ANM10362,Cat,Domestic Shorthair,16.9,3.6,F,VIS10362,2024-04-06,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM11505,Cat,Domestic Shorthair,10.5,5.5,MN,VIS11505,2023-06-26,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM02948,Dog,Labrador Retriever,10.8,27.5,F,VIS02948,2024-08-12,"head shaking, ear scratching",Ear,Otitis externa,mild,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM10705,Cat,Domestic Shorthair,19.8,4.7,FS,VIS10705,2023-08-18,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids",recovered
ANM12164,Cat,Persian,2.9,3.4,M,VIS12164,2024-04-09,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM12492,Cat,Domestic Shorthair,11.7,4.4,MN,VIS12492,2023-03-21,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),moderate,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM01823,Dog,Beagle,7.5,9.8,M,VIS01823,2024-10-14,"weight gain, lethargy, reduced exercise tolerance",GI,Obesity-related GI issues,moderate,Supportive care,"Caloric restriction, exercise program",improving
ANM08934,Cat,Siamese,9.0,4.5,MN,VIS08934,2023-11-16,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM14769,Cat,British Shorthair,16.7,5.4,F,VIS14769,2023-06-01,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),moderate,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM14388,Cat,Domestic Shorthair,1.6,5.6,MN,VIS14388,2024-04-15,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),moderate,Medication,"Pain relief, urinary diet, fluids; catheterisation if blocked",chronic management
ANM04918,Dog,Chihuahua,14.3,2.4,MN,VIS04918,2024-08-21,"head shaking, ear scratching",Ear,Otitis externa,mild,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM09534,Cat,Persian,10.9,3.6,MN,VIS09534,2024-08-28,"eye squinting, discharge, corneal pigmentation",Ophthalmology,Corneal ulcer / Sequestrum,severe,Surgery,"Topical ophthalmic antibiotics, lubricants, superficial keratectomy",recovered
ANM13624,Cat,Domestic Shorthair,5.2,3.6,MN,VIS13624,2024-02-27,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM07374,Dog,Beagle,7.6,10.6,FS,VIS07374,2024-06-22,"vomiting, anorexia",GI,Foreign body ingestion,severe,Surgery,"Exploratory laparotomy, endoscopic removal",referred
ANM00725,Dog,French Bulldog,6.3,8.1,FS,VIS00725,2024-03-28,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM11078,Cat,Domestic Shorthair,18.1,4.0,FS,VIS11078,2024-01-25,"diarrhoea, decreased appetite",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, probiotics, bland diet",recovered
ANM11915,Cat,Domestic Shorthair,7.3,3.3,FS,VIS11915,2023-02-02,"reduced jumping, stiffness",Musculoskeletal,Osteoarthritis,moderate,Medication,"Meloxicam (low dose), gabapentin, frunevetmab (Solensia)",chronic management
ANM02432,Dog,Yorkshire Terrier,11.8,3.8,MN,VIS02432,2023-08-31,"coughing, nasal discharge",Respiratory,Kennel cough (CIRD),mild,Medication,"Antitussives, antibiotics if secondary infection",recovered
ANM03025,Dog,French Bulldog,7.5,12.8,F,VIS03025,2023-11-13,"itching, redness, recurrent skin issues",Dermatology,Atopic dermatitis,moderate,Medication,"Oclacitinib (Apoquel), lokivetmab (Cytopoint), topical therapies",chronic management
ANM09635,Cat,British Shorthair,3.9,7.8,M,VIS09635,2024-02-25,"diarrhoea, decreased appetite",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, probiotics, bland diet",recovered
ANM14814,Cat,Persian,4.2,3.1,MN,VIS14814,2023-08-27,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM10178,Cat,Domestic Shorthair,8.5,3.4,MN,VIS10178,2023-05-23,"weight loss, increased thirst, decreased appetite",Respiratory,Tracheal collapse,moderate,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM14106,Cat,Maine Coon,6.1,5.3,MN,VIS14106,2024-05-28,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM09296,Cat,Domestic Shorthair,12.3,5.8,FS,VIS09296,2023-03-14,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM09070,Cat,British Shorthair,15.6,4.3,F,VIS09070,2023-03-30,"exercise intolerance, open-mouth breathing",Cardiovascular,Hypertrophic cardiomyopathy (HCM),moderate,Medication,"Atenolol or diltiazem, clopidogrel",chronic management
ANM04575,Dog,Labrador Retriever,5.8,32.3,FS,VIS04575,2024-11-15,"scratching, skin lesions",Dermatology,Pyoderma,mild,Medication,"Systemic antibiotics (cephalexin), topical therapy",recovered
ANM02881,Dog,Labrador Retriever,10.9,35.1,FS,VIS02881,2023-06-15,"hindlimb lameness, difficulty rising",Musculoskeletal,Hip dysplasia,severe,Medication,"NSAIDs (carprofen), weight management, joint supplements",chronic management
ANM01607,Dog,Labrador Retriever,2.2,31.1,M,VIS01607,2023-02-10,"vomiting, anorexia",GI,Foreign body ingestion,severe,Surgery,"Exploratory laparotomy, endoscopic removal",recovered
ANM08055,Cat,Siamese,2.4,4.7,MN,VIS08055,2023-08-30,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM14654,Cat,Domestic Shorthair,8.9,5.1,MN,VIS14654,2024-05-30,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids",recovered
