tournament_name,yellow_per_match,red_per_match,year
1970 FIFA Men's World Cup,1.63,0.0,1970
1974 FIFA Men's World Cup,2.29,0.13,1974
1978 FIFA Men's World Cup,1.21,0.08,1978
1982 FIFA Men's World Cup,1.9,0.1,1982
1986 FIFA Men's World Cup,2.65,0.08,1986
1990 FIFA Men's World Cup,3.25,0.19,1990
1994 FIFA Men's World Cup,4.38,0.15,1994
1998 FIFA Men's World Cup,3.97,0.28,1998
2002 FIFA Men's World Cup,4.16,0.17,2002
2006 FIFA Men's World Cup,5.09,0.14,2006
2010 FIFA Men's World Cup,3.97,0.14,2010
2014 FIFA Men's World Cup,2.88,0.11,2014
2018 FIFA Men's World Cup,3.45,0.03,2018
2022 FIFA Men's World Cup,3.5,0.02,2022
