tournament_name,continent,wins,win_share
1930 FIFA Men's World Cup,South America,12,66.67
1930 FIFA Men's World Cup,Europe,4,22.22
1930 FIFA Men's World Cup,Rest of World,2,11.11
1934 FIFA Men's World Cup,Europe,16,100.0
1934 FIFA Men's World Cup,South America,0,0.0
1934 FIFA Men's World Cup,Rest of World,0,0.0
1938 FIFA Men's World Cup,Europe,11,73.33
1938 FIFA Men's World Cup,South America,3,20.0
1938 FIFA Men's World Cup,Rest of World,1,6.67
1950 FIFA Men's World Cup,Europe,10,52.63
1950 FIFA Men's World Cup,South America,8,42.11
1950 FIFA Men's World Cup,Rest of World,1,5.26
1954 FIFA Men's World Cup,Europe,20,83.33
1954 FIFA Men's World Cup,South America,4,16.67
1954 FIFA Men's World Cup,Rest of World,0,0.0
1958 FIFA Men's World Cup,Europe,18,72.0
1958 FIFA Men's World Cup,South America,7,28.0
1958 FIFA Men's World Cup,Rest of World,0,0.0
1962 FIFA Men's World Cup,Europe,15,55.56
1962 FIFA Men's World Cup,South America,11,40.74
1962 FIFA Men's World Cup,Rest of World,1,3.7
1966 FIFA Men's World Cup,Europe,22,81.48
1966 FIFA Men's World Cup,South America,4,14.81
1966 FIFA Men's World Cup,Rest of World,1,3.7
1970 FIFA Men's World Cup,Europe,15,55.56
1970 FIFA Men's World Cup,South America,10,37.04
1970 FIFA Men's World Cup,Rest of World,2,7.41
1974 FIFA Men's World Cup,Europe,24,85.71
1974 FIFA Men's World Cup,South America,4,14.29
1974 FIFA Men's World Cup,Rest of World,0,0.0
1978 FIFA Men's World Cup,Europe,17,58.62
1978 FIFA Men's World Cup,South America,11,37.93
1978 FIFA Men's World Cup,Rest of World,1,3.45
1982 FIFA Men's World Cup,Europe,28,77.78
1982 FIFA Men's World Cup,South America,6,16.67
1982 FIFA Men's World Cup,Rest of World,2,5.56
1986 FIFA Men's World Cup,Europe,26,63.41
1986 FIFA Men's World Cup,South America,11,26.83
1986 FIFA Men's World Cup,Rest of World,4,9.76
1990 FIFA Men's World Cup,Europe,30,68.18
1990 FIFA Men's World Cup,South America,9,20.45
1990 FIFA Men's World Cup,Rest of World,5,11.36
1994 FIFA Men's World Cup,Europe,29,65.91
1994 FIFA Men's World Cup,South America,9,20.45
1994 FIFA Men's World Cup,Rest of World,6,13.64
1998 FIFA Men's World Cup,Europe,31,64.58
1998 FIFA Men's World Cup,South America,11,22.92
1998 FIFA Men's World Cup,Rest of World,6,12.5
2002 FIFA Men's World Cup,Europe,25,50.0
2002 FIFA Men's World Cup,Rest of World,15,30.0
2002 FIFA Men's World Cup,South America,10,20.0
2006 FIFA Men's World Cup,Europe,37,69.81
2006 FIFA Men's World Cup,South America,10,18.87
2006 FIFA Men's World Cup,Rest of World,6,11.32
2010 FIFA Men's World Cup,Europe,25,50.0
2010 FIFA Men's World Cup,South America,15,30.0
2010 FIFA Men's World Cup,Rest of World,10,20.0
2014 FIFA Men's World Cup,Europe,27,49.09
2014 FIFA Men's World Cup,South America,19,34.55
2014 FIFA Men's World Cup,Rest of World,9,16.36
2018 FIFA Men's World Cup,Europe,35,63.64
2018 FIFA Men's World Cup,South America,11,20.0
2018 FIFA Men's World Cup,Rest of World,9,16.36
2022 FIFA Men's World Cup,Europe,24,44.44
2022 FIFA Men's World Cup,Rest of World,19,35.19
2022 FIFA Men's World Cup,South America,11,20.37
